TimeStamp, Build, Success, Failed, Skipped
2018-12-18,39,16.67,41.67,41.67
2018-12-18,41,91.67,8.33,0.0
2018-12-19,42,100.0,0.0,0.0
2018-12-20,43,41.67,16.67,41.67
2018-12-21,44,100.0,0.0,0.0
